countyfips,periods,final_consumer_spending,average_consumer_spending,sd_consumer_spending,positive_consumer_spending,negative_consumer_spending,max_increase_consumer_spending,max_decrease_consumer_spending
46127,231,0.311,0.05123961904761905,0.16700193674313657,141,90,0.718,-0.429
46135,231,0.0684,0.15195324675324676,0.16361031066245468,190,41,0.522,-0.367
47001,231,0.387,0.22061987012987014,0.13916192511034706,210,21,0.487,-0.24
47009,231,0.386,0.2620813852813853,0.12711093751995967,225,6,0.452,-0.185
47011,231,0.736,0.38976363636363637,0.21556869829386333,223,8,0.736,-0.197
47013,231,0.439,0.30120948051948054,0.1912963777213102,209,22,0.736,-0.262
47019,231,0.454,0.3024618813852814,0.15743538966688236,224,7,0.558,-0.148
47025,231,0.642,0.38930259740259743,0.1958679947937603,224,7,0.736,-0.116
47029,231,0.496,0.315287987012987,0.14630733656894937,223,8,0.604,-0.184
47035,231,0.165,0.1519417748917749,0.15223669838905887,192,39,0.69,-0.37
47037,231,0.0965,0.024625553246753248,0.1559544248426964,162,69,0.257,-0.479
47043,231,0.149,0.08674887445887446,0.11186277567719259,184,47,0.279,-0.32
47047,231,0.52,0.1596757619047619,0.20852487641079834,178,53,0.586,-0.38
47053,231,0.0894,0.047355974025974024,0.1970890274354719,146,85,0.618,-0.533
47057,231,0.363,0.23611839826839826,0.11704924406099079,224,7,0.454,-0.204
47059,231,0.214,0.1569112987012987,0.12518901900744,202,29,0.427,-0.278
47063,231,0.41,0.28824497835497837,0.12792658496481643,224,7,0.51,-0.2
47065,231,0.374,0.19203441558441559,0.14962492287304835,198,33,0.46,-0.287
47067,231,0.353,0.2334717748917749,0.16001933163883797,203,28,0.67,-0.256
47073,231,0.332,0.24560004329004329,0.10459824357365552,223,8,0.488,-0.16
47083,231,0.234,0.2689369264069264,0.143197619817445,222,9,0.609,-0.252
47085,231,-0.0346,0.016151329004329005,0.20997136882794898,118,113,0.601,-0.464
47089,231,0.365,0.2560129004329004,0.12706638599663786,223,8,0.496,-0.211
47093,231,0.438,0.2646888311688312,0.14108676235910908,223,8,0.515,-0.237
47105,231,0.367,0.2623112121212121,0.13865221318499854,222,9,0.465,-0.215
