"GEO_ID","NAME","H8_001N",
"Geography","Geographic Area Name"," !!Total",
"0500000US08125","Yuma County, Colorado","9787",
"0500000US09001","Fairfield County, Connecticut","938904",
"0500000US09003","Hartford County, Connecticut","876074",
"0500000US09005","Litchfield County, Connecticut","182192",
"0500000US09007","Middlesex County, Connecticut","157769",
"0500000US09009","New Haven County, Connecticut","836056",
"0500000US09011","New London County, Connecticut","258913",
"0500000US09013","Tolland County, Connecticut","136065",
"0500000US09015","Windham County, Connecticut","111969",
"0500000US10001","Kent County, Delaware","177770",
"0500000US10003","New Castle County, Delaware","554820",
"0500000US10005","Sussex County, Delaware","234613",
"0500000US11001","District of Columbia, District of Columbia","648863",
"0500000US12001","Alachua County, Florida","260839",
"0500000US12003","Baker County, Florida","25197",
"0500000US12005","Bay County, Florida","172151",
"0500000US12007","Bradford County, Florida","23984",
"0500000US12009","Brevard County, Florida","598622",
"0500000US12011","Broward County, Florida","1929434",
"0500000US12013","Calhoun County, Florida","11843",
"0500000US12015","Charlotte County, Florida","182939",
"0500000US12017","Citrus County, Florida","151007",
"0500000US12019","Clay County, Florida","215747",
"0500000US12021","Collier County, Florida","370914",
"0500000US12023","Columbia County, Florida","66097",
"0500000US12027","DeSoto County, Florida","30851",
"0500000US12029","Dixie County, Florida","14883",
"0500000US12031","Duval County, Florida","972681",
"0500000US12033","Escambia County, Florida","303189",
"0500000US12035","Flagler County, Florida","114574",
"0500000US12037","Franklin County, Florida","11001",
"0500000US12039","Gadsden County, Florida","41753",
"0500000US12041","Gilchrist County, Florida","16865",
"0500000US12043","Glades County, Florida","10193",
"0500000US12045","Gulf County, Florida","12959",
"0500000US12047","Hamilton County, Florida","11569",
"0500000US12049","Hardee County, Florida","23428",
"0500000US12051","Hendry County, Florida","37356",
"0500000US12053","Hernando County, Florida","192398",
"0500000US12055","Highlands County, Florida","99826",
"0500000US12057","Hillsborough County, Florida","1429252",
"0500000US12059","Holmes County, Florida","17741",
"0500000US12061","Indian River County, Florida","158335",
"0500000US12063","Jackson County, Florida","40807",
"0500000US12065","Jefferson County, Florida","13497",
"0500000US12067","Lafayette County, Florida","6689",
"0500000US12069","Lake County, Florida","379114",
"0500000US12071","Lee County, Florida","747696",
"0500000US12073","Leon County, Florida","277258",
"0500000US12075","Levy County, Florida","42629",
"0500000US12077","Liberty County, Florida","6101",
"0500000US12079","Madison County, Florida","16253",
"0500000US12081","Manatee County, Florida","393430",
"0500000US12083","Marion County, Florida","366227",
"0500000US12085","Martin County, Florida","153679",
"0500000US12086","Miami-Dade County, Florida","2663050",
"0500000US12087","Monroe County, Florida","81858",
"0500000US12089","Nassau County, Florida","89605",
"0500000US12091","Okaloosa County, Florida","207302",
"0500000US12093","Okeechobee County, Florida","37010",
"0500000US12095","Orange County, Florida","1393347",
"0500000US12097","Osceola County, Florida","385751",
"0500000US12099","Palm Beach County, Florida","1464848",
"0500000US12101","Pasco County, Florida","553906",
"0500000US12103","Pinellas County, Florida","938757",
"0500000US12105","Polk County, Florida","709633",
"0500000US12107","Putnam County, Florida","72056",
"0500000US12109","St. Johns County, Florida","269716",
"0500000US12111","St. Lucie County, Florida","326316",
"0500000US12113","Santa Rosa County, Florida","181787",
"0500000US12115","Sarasota County, Florida","426047",
"0500000US12117","Seminole County, Florida","465902",
"0500000US12119","Sumter County, Florida","121199",
"0500000US12121","Suwannee County, Florida","40839",
"0500000US12123","Taylor County, Florida","19277",
"0500000US12125","Union County, Florida","11373",
"0500000US12127","Volusia County, Florida","536793",
"0500000US12129","Wakulla County, Florida","30355",
"0500000US12131","Walton County, Florida","72940",
"0500000US12133","Washington County, Florida","22929",
"0500000US13001","Appling County, Georgia","18046",
"0500000US13003","Atkinson County, Georgia","8272",
"0500000US13005","Bacon County, Georgia","10873",
"0500000US13007","Baker County, Georgia","2876",
"0500000US13009","Baldwin County, Georgia","38544",
"0500000US13011","Banks County, Georgia","18035",
"0500000US13013","Barrow County, Georgia","83011",
